timestamp,latitude,longitude,altitude,velocity_east,velocity_north,velocity_up,speed,heading,roll,pitch,yaw
0.0,12.971599999999999,77.5946,920.0000000009313,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0
0.01,12.971599999999999,77.5946,920.0000000009313,0.01,0.0,0.0,0.01,90.0,0.0,0.0,0.0
0.02,12.971599999999999,77.59460000092155,920.0000000009313,0.02,0.0,0.0,0.02,90.0,0.0,0.0,0.0
0.03,12.971599999999999,77.59460000276465,920.0000000009313,0.03,0.0,0.0,0.03,90.0,0.0,0.0,0.0
0.04,12.9716,77.59460000552932,919.9999999990687,0.04,0.0,0.0,0.04,90.0,0.0,0.0,0.0
0.05,12.971599999999999,77.59460000921551,920.0000000009313,0.05,0.0,0.0,0.05,90.0,0.0,0.0,0.0
0.06,12.971599999999999,77.59460001382327,920.0000000009313,0.060000000000000005,0.0,0.0,0.060000000000000005,90.0,0.0,0.0,0.0
0.07,12.971599999999999,77.59460001935257,920.0000000009313,0.07,0.0,0.0,0.07,90.0,0.0,0.0,0.0
0.08,12.971599999999999,77.59460002580343,920.0000000009313,0.08,0.0,0.0,0.08,90.0,0.0,0.0,0.0
0.09,12.971599999999999,77.59460003317584,920.0000000009313,0.09,0.0,0.0,0.09,90.0,0.0,0.0,0.0
0.1,12.971599999999999,77.59460004146979,920.0000000009313,0.09999999999999999,0.0,0.0,0.09999999999999999,90.0,0.0,0.0,0.0
0.11,12.971599999999999,77.5946000506853,920.0000000009313,0.10999999999999999,0.0,0.0,0.10999999999999999,90.0,0.0,0.0,0.0
0.12,12.971599999999999,77.59460006082236,920.0000000009313,0.11999999999999998,0.0,0.0,0.11999999999999998,90.0,0.0,0.0,0.0
0.13,12.971599999999999,77.59460007188098,920.0000000009313,0.12999999999999998,0.0,0.0,0.12999999999999998,90.0,0.0,0.0,0.0
0.14,12.971599999999999,77.59460008386112,920.0000000009313,0.13999999999999999,0.0,0.0,0.13999999999999999,90.0,0.0,0.0,0.0
0.15,12.971599999999999,77.59460009676285,920.0000000009313,0.15,0.0,0.0,0.15,90.0,0.0,0.0,0.0
0.16,12.971599999999999,77.59460011058611,920.0000000009313,0.16,0.0,0.0,0.16,90.0,0.0,0.0,0.0
0.17,12.971599999999999,77.59460012533091,920.0000000009313,0.17,0.0,0.0,0.17,90.0,0.0,0.0,0.0
0.18,12.971599999999999,77.59460014099729,920.0000000009313,0.18000000000000002,0.0,0.0,0.18000000000000002,90.0,0.0,0.0,0.0
0.19,12.971599999999999,77.5946001575852,920.0000000009313,0.19000000000000003,0.0,0.0,0.19000000000000003,90.0,0.0,0.0,0.0
0.2,12.971599999999999,77.59460017509468,920.0000000009313,0.20000000000000004,0.0,0.0,0.20000000000000004,90.0,0.0,0.0,0.0
0.21,12.971599999999999,77.5946001935257,920.0000000009313,0.21000000000000005,0.0,0.0,0.21000000000000005,90.0,0.0,0.0,0.0
0.22,12.971599999999999,77.59460021287826,920.0000000009313,0.22000000000000006,0.0,0.0,0.22000000000000006,90.0,0.0,0.0,0.0
0.23,12.971599999999999,77.59460023315238,920.0000000009313,0.23000000000000007,0.0,0.0,0.23000000000000007,90.0,0.0,0.0,0.0
0.24,12.971599999999999,77.59460025434805,920.0000000009313,0.24000000000000007,0.0,0.0,0.24000000000000007,90.0,0.0,0.0,0.0
0.25,12.971599999999999,77.59460027646529,920.0000000009313,0.25000000000000006,0.0,0.0,0.25000000000000006,90.0,0.0,0.0,0.0
0.26,12.971599999999999,77.59460029950405,920.0000000009313,0.26000000000000006,0.0,0.0,0.26000000000000006,90.0,0.0,0.0,0.0
0.27,12.971599999999999,77.59460032346438,920.0000000009313,0.2700000000000001,0.0,0.0,0.2700000000000001,90.0,0.0,0.0,0.0
0.28,12.971599999999999,77.59460034834625,920.0000000009313,0.2800000000000001,0.0,0.0,0.2800000000000001,90.0,0.0,0.0,0.0
0.29,12.971599999999999,77.59460037414966,920.0000000009313,0.2900000000000001,0.0,0.0,0.2900000000000001,90.0,0.0,0.0,0.0
0.3,12.971599999999999,77.59460040087465,920.0000000009313,0.3000000000000001,0.0,0.0,0.3000000000000001,90.0,0.0,0.0,0.0
0.31,12.971599999999999,77.59460042852118,920.0000000009313,0.3100000000000001,0.0,0.0,0.3100000000000001,90.0,0.0,0.0,0.0
0.32,12.971599999999999,77.59460045708924,920.0000000009313,0.3200000000000001,0.0,0.0,0.3200000000000001,90.0,0.0,0.0,0.0
0.33,12.971599999999999,77.59460048657888,920.0000000009313,0.3300000000000001,0.0,0.0,0.3300000000000001,90.0,0.0,0.0,0.0
0.34,12.971599999999997,77.59460051699006,920.0000000018626,0.34000000000000014,0.0,0.0,0.34000000000000014,90.0,0.0,0.0,0.0
0.35000000000000003,12.971599999999999,77.59460054832279,920.0000000009313,0.35000000000000014,0.0,0.0,0.35000000000000014,90.0,0.0,0.0,0.0
0.36,12.971599999999997,77.59460058057707,920.0000000018626,0.36000000000000015,0.0,0.0,0.36000000000000015,90.0,0.0,0.0,0.0
0.37,12.971599999999997,77.5946006137529,920.0000000018626,0.37000000000000016,0.0,0.0,0.37000000000000016,90.0,0.0,0.0,0.0
0.38,12.971599999999999,77.59460064785029,920.0000000009313,0.38000000000000017,0.0,0.0,0.38000000000000017,90.0,0.0,0.0,0.0
0.39,12.971599999999999,77.59460068286921,920.0000000009313,0.3900000000000002,0.0,0.0,0.3900000000000002,90.0,0.0,0.0,0.0
0.4,12.971599999999997,77.5946007188097,920.0000000018626,0.4000000000000002,0.0,0.0,0.4000000000000002,90.0,0.0,0.0,0.0
0.41000000000000003,12.971599999999999,77.59460075567175,920.0000000009313,0.4100000000000002,0.0,0.0,0.4100000000000002,90.0,0.0,0.0,0.0
0.42,12.971599999999997,77.59460079345533,920.0000000018626,0.4200000000000002,0.0,0.0,0.4200000000000002,90.0,0.0,0.0,0.0
0.43,12.971599999999999,77.59460083216047,920.0000000009313,0.4300000000000002,0.0,0.0,0.4300000000000002,90.0,0.0,0.0,0.0
0.44,12.971599999999999,77.59460087178715,920.0000000009313,0.4400000000000002,0.0,0.0,0.4400000000000002,90.0,0.0,0.0,0.0
0.45,12.971599999999997,77.5946009123354,920.0000000018626,0.45000000000000023,0.0,0.0,0.45000000000000023,90.0,0.0,0.0,0.0
0.46,12.971599999999997,77.59460095380518,920.0000000018626,0.46000000000000024,0.0,0.0,0.46000000000000024,90.0,0.0,0.0,0.0
0.47000000000000003,12.971599999999997,77.59460099619652,920.0000000018626,0.47000000000000025,0.0,0.0,0.47000000000000025,90.0,0.0,0.0,0.0
0.48,12.971599999999997,77.59460103950941,920.0000000018626,0.48000000000000026,0.0,0.0,0.48000000000000026,90.0,0.0,0.0,0.0
0.49,12.971599999999997,77.59460108374385,920.0000000018626,0.49000000000000027,0.0,0.0,0.49000000000000027,90.0,0.0,0.0,0.0
0.5,12.971599999999997,77.59460112889987,920.0000000018626,0.5000000000000002,0.0,0.0,0.5000000000000002,90.0,0.0,0.0,0.0
0.51,12.971599999999997,77.5946011749774,920.0000000018626,0.5100000000000002,0.0,0.0,0.5100000000000002,90.0,0.0,0.0,0.0
0.52,12.971599999999995,77.5946012219765,920.000000002794,0.5200000000000002,0.0,0.0,0.5200000000000002,90.0,0.0,0.0,0.0
0.53,12.971599999999997,77.59460126989714,920.0000000018626,0.5300000000000002,0.0,0.0,0.5300000000000002,90.0,0.0,0.0,0.0
0.54,12.971599999999995,77.59460131873935,920.000000002794,0.5400000000000003,0.0,0.0,0.5400000000000003,90.0,0.0,0.0,0.0
0.55,12.971599999999995,77.59460136850309,920.000000002794,0.5500000000000003,0.0,0.0,0.5500000000000003,90.0,0.0,0.0,0.0
0.56,12.971599999999995,77.5946014191884,920.000000002794,0.5600000000000003,0.0,0.0,0.5600000000000003,90.0,0.0,0.0,0.0
